datetime,price,monthOfYear,Hour,dayOfWeek,difRes,difLoad,isoDay_std,priceDif1,priceRef
2021-11-30 14:00:00+01:00,239.9,11,14,1,0.2988939966319239,0.02183653116208452,89.9130972619625,-102.86999999999998,342.77
2021-11-30 15:00:00+01:00,253.0,11,15,1,0.30490191616221385,0.03300040189934654,89.9130972619625,-99.11000000000001,352.11
2021-11-30 16:00:00+01:00,259.0,11,16,1,0.2574302489645442,0.010226105595332014,89.9130972619625,-101.0,360.0
2021-11-30 17:00:00+01:00,252.95,11,17,1,0.22147376086659687,0.007383039847575951,89.9130972619625,-168.92000000000002,421.87
2021-11-30 18:00:00+01:00,228.92,11,18,1,0.22092758636384324,0.0035873237969068637,89.9130972619625,-181.21,410.13
2021-11-30 19:00:00+01:00,232.6,11,19,1,0.27390651313094533,-0.0009973057858620742,89.9130972619625,-122.46000000000001,355.06
2021-11-30 20:00:00+01:00,214.43,11,20,1,0.2927040189340494,-0.0022030038254863727,89.9130972619625,-95.73000000000002,310.16
2021-11-30 21:00:00+01:00,172.51,11,21,1,0.2725865914159574,0.0012801238445393787,89.9130972619625,-33.96000000000001,206.47
2021-11-30 22:00:00+01:00,146.05,11,22,1,0.2586591415957398,0.0013396644884714427,89.9130972619625,-43.94999999999999,190.0
2021-11-30 23:00:00+01:00,126.94,11,23,1,0.21978972281643985,0.007219303076762775,89.9130972619625,-16.840000000000003,143.78
2021-12-01 00:00:00+01:00,131.46,12,0,2,0.017506952863153392,-0.01691636298195888,59.39014950285117,22.870000000000005,108.59
2021-12-01 01:00:00+01:00,106.16,12,1,2,0.01864793553447907,-0.01246232060107077,59.39014950285117,5.6499999999999915,100.51
2021-12-01 02:00:00+01:00,97.39,12,2,2,0.030628253583398702,-0.008473178266672666,59.39014950285117,5.459999999999994,91.93
2021-12-01 03:00:00+01:00,93.88,12,3,2,0.06942166440847179,-0.010002849387381713,59.39014950285117,-0.21999999999999886,94.1
2021-12-01 04:00:00+01:00,86.95,12,4,2,0.11695072381088212,-0.008578155696525248,59.39014950285117,-6.989999999999995,93.94
2021-12-01 05:00:00+01:00,94.27,12,5,2,0.14233758824787848,-0.006163674809915868,59.39014950285117,-4.090000000000003,98.36
2021-12-01 06:00:00+01:00,115.82,12,6,2,0.14879127148256435,-0.005983713501597157,59.39014950285117,15.25,100.57
2021-12-01 07:00:00+01:00,150.0,12,7,2,0.171575269200599,0.0025944421949280904,59.39014950285117,-64.0,214.0
2021-12-01 08:00:00+01:00,248.3,12,8,2,0.20173999857377167,0.0009597936443664612,59.39014950285117,47.30000000000001,201.0
2021-12-01 09:00:00+01:00,250.0,12,9,2,0.21792769022320474,0.006733552286258455,59.39014950285117,50.0,200.0
2021-12-01 10:00:00+01:00,202.1,12,10,2,0.2614989659844541,0.01583659513204661,59.39014950285117,-7.900000000000006,210.0
2021-12-01 11:00:00+01:00,234.0,12,11,2,0.35085217143264635,0.014231940132871433,59.39014950285117,43.0,191.0
